protein1,protein2,interaction
206,836,1
1112,292,1
1107,91,1
1399,1254,1
1389,995,1
89,395,1
244,620,1
800,519,1
165,490,1
879,1385,1
976,357,1
350,548,1
1367,1471,1
1036,254,1
1066,81,1
171,1138,1
227,1409,1
1203,746,1
353,453,1
1371,1312,1
712,1310,1
481,482,1
65,647,1
1569,1527,1
369,808,1
616,849,1
731,305,1
352,662,1
738,1382,1
88,656,1
1289,1320,1
290,1049,1
1353,409,1
1447,990,1
251,1025,1
279,1318,1
151,513,1
44,1484,1
905,77,1
1124,1123,1
1511,383,1
1382,1396,1
808,1295,1
627,10,1
736,851,1
1036,945,1
1030,908,1
101,372,1
1492,937,1
1308,119,1
959,502,1
427,1117,1
1094,247,1
763,497,1
196,708,1
791,1185,1
996,558,1
1138,543,1
641,1076,1
1028,1318,1
1503,1178,1
852,1219,1
560,1330,1
53,922,1
540,1271,1
1270,1135,1
1414,1286,1
993,446,1
1042,150,1
643,664,1
1273,220,1
333,658,1
1273,170,1
1444,355,1
1278,1017,1
1551,1377,1
45,23,1
535,1319,1
96,199,1
326,538,1
1059,886,1
879,989,1
1165,961,1
857,1438,1
1568,418,1
618,446,1
400,338,1
120,1498,1
907,1423,1
529,747,1
960,1363,1
1390,466,1
1435,105,1
243,493,1
723,488,1
944,998,1
1475,620,1
277,25,1
830,1351,1
665,1470,1
64,278,1
454,1260,1
44,859,1
657,1442,1
1336,375,1
1359,739,1
1192,665,1
396,612,1
1203,756,1
1361,1448,1
829,181,1
1458,1437,1
557,553,1
297,478,1
1310,1482,1
1233,822,1
693,1194,1
1208,636,1
928,586,1
169,1345,1
1162,88,1
617,318,1
328,1420,1
1023,430,1
710,148,1
541,1228,1
679,851,1
1057,156,1
747,452,1
755,1114,1
245,379,1
1538,1031,1
1221,799,1
1396,1361,1
1190,1361,1
599,326,1
994,854,1
1000,387,1
765,1460,1
916,168,1
1414,696,1
753,685,1
461,1295,1
1057,578,1
539,666,1
1402,108,1
1186,661,1
556,1356,1
738,635,1
1060,918,1
596,129,1
1110,613,1
394,261,1
913,1165,1
819,620,1
478,707,1
409,310,1
1073,123,1
1487,1283,1
32,843,1
724,1407,1
501,1532,1
1508,183,1
789,613,1
13,1065,1
470,855,1
794,347,1
425,275,1
1323,1061,1
105,467,1
973,1336,1
851,810,1
580,621,1
1053,399,1
1335,1243,1
965,427,1
1170,1485,1
732,1438,1
1113,1454,1
872,1059,1
195,921,1
1210,228,1
651,32,1
1056,756,1
91,1492,1
113,173,1
253,1020,1
867,563,1
32,1135,1
1058,332,1
446,1046,1
222,29,1
1038,465,1
1136,770,1
150,1001,1
803,850,1
205,315,1
1015,33,1
438,1250,1
1285,1323,1
483,560,1
913,204,1
382,90,1
767,140,1
1543,740,1
113,1446,1
436,731,1
1398,510,1
717,662,1
108,1360,1
885,460,1
1342,812,1
338,3,1
1277,345,1
993,871,1
581,852,1
765,255,1
93,1112,1
663,226,1
613,1445,1
577,730,1
562,787,1
420,47,1
818,1477,1
108,1521,1
647,28,1
235,892,1
1078,1252,1
160,1569,1
862,937,1
1322,1375,1
214,1407,1
269,1019,1
565,670,1
678,586,1
235,285,1
1286,93,1
1350,1518,1
1485,1012,1
144,392,1
331,178,1
527,250,1
241,134,1
9,225,1
1200,758,1
39,996,1
235,950,1
1206,236,1
669,1364,1
801,1240,1
337,956,1
1518,58,1
608,1307,1
1194,788,1
1028,989,1
1047,1527,1
895,597,1
412,1168,1
86,859,1
705,1360,1
531,1063,1
1515,941,1
855,1369,1
1367,1224,1
838,1160,1
325,1169,1
753,1031,1
247,1385,1
1167,526,1
1217,1089,1
31,997,1
975,788,1
389,809,1
989,315,1
751,1060,1
1014,1559,1
196,409,1
1385,1283,1
147,898,1
1369,167,1
970,1261,1
843,1422,1
1463,781,1
1457,1306,1
1543,941,1
373,325,1
615,1101,1
1192,744,1
653,1303,1
573,1422,1
1137,1552,1
1080,560,1
1269,1327,1
292,1554,1
1316,745,1
5,681,1
20,749,1
1163,1346,1
316,222,1
1190,1353,1
540,682,1
320,555,1
34,329,1
162,595,1
638,1451,1
251,1074,1
108,271,1
891,565,1
1117,757,1
336,769,1
176,1321,1
833,763,1
422,315,1
1547,116,1
537,498,1
862,1444,1
1517,1234,1
1452,1131,1
1378,1194,1
711,1257,1
1348,715,1
1102,304,1
1131,77,1
888,877,1
80,1441,1
1097,281,1
280,1340,1
1006,887,1
25,1297,1
388,178,1
1207,493,1
1362,1372,1
13,162,1
727,1076,1
810,723,1
1132,494,1
637,1007,1
524,1206,1
832,1341,1
692,521,1
1440,1491,1
63,295,1
201,1559,1
457,1032,1
959,894,1
1005,738,1
762,878,1
1065,266,1
1271,291,1
495,1547,1
1071,472,1
775,397,1
726,844,1
426,1484,1
268,638,1
596,42,1
321,962,1
943,332,1
962,1487,1
837,1020,1
946,1542,1
56,781,1
988,1230,1
590,428,1
490,1561,1
703,396,1
760,470,1
1103,616,1
671,1135,1
1319,946,1
1247,479,1
1015,444,1
512,471,1
159,734,1
27,529,1
907,1559,1
952,1055,1
153,444,1
792,1295,1
784,1011,1
686,495,1
1294,639,1
538,778,1
801,136,1
1302,1366,1
453,1128,1
1129,1297,1
764,254,1
282,1138,1
1195,565,1
1192,436,1
266,1021,1
604,436,1
598,532,1
119,492,1
413,327,1
1205,1182,1
604,410,1
722,632,1
698,188,1
104,934,1
575,991,1
17,65,1
1084,818,1
1462,484,1
1252,693,1
1344,214,1
570,1059,1
1171,1306,1
1092,849,1
847,1074,1
724,1192,1
392,1554,1
1249,1508,1
182,1282,1
513,68,1
1299,99,1
184,1111,1
1142,418,1
1047,439,1
558,367,1
1296,353,1
6,622,1
459,1400,1
1482,1376,1
272,1217,1
95,1556,1
1437,1056,1
950,678,1
1151,1256,1
772,733,1
1393,1548,1
1413,982,1
1436,349,1
1306,16,1
219,670,1
560,260,1
406,912,1
924,827,1
35,358,1
885,194,1
1047,1043,1
1481,595,1
5,378,1
1302,522,1
784,541,1
503,659,1
842,1190,1
310,1010,1
149,1094,1
1274,762,1
192,2,1
1191,1417,1
1253,939,1
750,939,1
1331,152,1
927,1483,1
1117,1519,1
188,987,1
582,110,1
1131,155,1
1229,987,1
952,69,1
1428,1523,1
953,503,1
192,176,1
1369,1193,1
482,1054,1
69,214,1
250,267,1
82,489,1
1521,40,1
1128,1259,1
939,630,1
486,264,1
236,1360,1
1022,1201,1
423,841,1
600,1334,1
296,233,1
64,21,1
778,1209,1
1565,1091,1
1003,986,1
136,215,1
1332,1225,1
1115,521,1
600,777,1
76,1436,1
562,670,1
809,938,1
1295,272,1
1379,1413,1
1427,631,1
595,568,1
0,1186,1
1487,573,1
758,1223,1
1563,1143,1
1204,518,1
139,1184,1
673,872,1
828,1129,1
1307,381,1
1485,1475,1
725,844,1
147,61,1
274,825,1
831,460,1
650,857,1
1136,1220,1
67,1321,1
1274,320,1
858,777,1
510,1333,1
857,213,1
103,477,1
792,355,1
1528,837,1
1005,302,1
125,1050,1
1202,1330,1
758,54,1
713,518,1
205,443,1
1111,1150,1
1334,8,1
916,155,1
1516,537,1
376,1091,1
1320,319,1
1526,1375,1
1200,83,1
615,1186,1
796,1404,1
497,1320,1
1502,675,1
244,238,1
287,749,1
1381,285,1
52,1256,1
234,749,1
491,1009,1
1408,1388,1
596,552,1
883,142,1
822,117,1
565,588,1
659,1395,1
1560,1196,1
326,434,1
195,778,1
1135,377,1
1467,1292,1
1400,52,1
54,1219,1
158,271,1
339,497,1
681,1498,1
696,1541,1
356,453,1
913,755,1
1526,215,1
424,82,1
1301,1116,1
1536,601,1
767,550,1
939,271,1
1139,798,1
623,960,1
152,526,1
541,89,1
1056,1314,1
201,1279,1
1353,743,1
1318,463,1
511,198,1
1513,660,1
1489,1365,1
1077,1315,1
1145,921,1
183,894,1
954,1455,1
770,1149,1
820,1502,1
325,79,1
239,1238,1
206,858,1
316,1204,1
370,1444,1
1054,701,1
496,5,1
172,804,1
704,1151,1
1123,181,1
757,544,1
324,1226,1
534,813,1
1230,74,1
1212,6,1
1389,54,1
25,1360,1
678,1268,1
218,1506,1
395,1191,1
1515,140,1
1091,1167,1
23,216,1
137,689,1
694,627,1
608,1404,1
312,1362,1
1412,178,1
222,957,1
1473,1466,1
774,968,1
28,130,1
342,1545,1
856,415,1
1432,686,1
368,181,1
294,646,1
917,777,1
1567,85,1
718,1488,1
821,376,1
1222,727,1
357,1417,1
251,521,1
298,1089,1
1378,481,1
42,785,1
848,1558,1
410,1114,1
739,587,1
1212,805,1
1105,371,1
1251,1547,1
1493,1057,1
1341,1110,1
775,222,1
1373,1268,1
1269,672,1
200,1488,1
421,543,1
205,95,1
70,415,1
595,874,1
1177,1340,1
425,1173,1
1252,147,1
4,371,1
1174,1172,1
625,422,1
1030,996,1
1089,1376,1
624,1147,1
1303,224,1
881,1282,1
88,296,1
782,1175,1
827,157,1
160,41,1
308,162,1
365,400,1
1538,1364,1
392,1387,1
529,769,1
245,207,1
1548,1546,1
675,957,1
732,1262,1
1116,1279,1
698,587,1
1093,145,1
1569,350,1
1154,376,1
471,1306,1
1027,1274,1
154,733,1
1184,993,1
1548,537,1
521,49,1
337,885,1
685,1362,1
145,946,1
985,1253,1
1372,163,1
77,1064,1
1365,691,1
235,301,1
1169,1460,1
1496,83,1
1305,605,1
1198,1029,1
126,868,1
945,1099,1
1007,1065,1
1224,339,1
748,727,1
1057,1136,1
862,121,1
209,298,1
1414,894,1
466,133,1
1350,239,1
139,983,1
1048,182,1
1209,1544,1
467,140,1
925,918,1
855,345,1
1506,355,1
218,101,1
1151,1469,1
351,652,1
547,1558,1
239,874,1
1144,1343,1
7,952,1
1204,474,1
36,459,1
807,1447,1
1491,1170,1
1504,840,1
206,841,1
1489,14,1
199,823,1
756,143,1
422,231,1
177,397,1
1274,795,1
646,1529,1
1485,1020,1
40,1269,1
791,1565,1
1113,605,1
529,511,1
1005,806,1
1115,1315,1
1371,1442,1
19,460,1
938,650,1
927,1161,1
593,679,1
1323,1396,1
285,820,1
40,892,1
1265,966,1
807,135,1
506,1383,1
1348,729,1
308,1211,1
1158,342,1
13,1011,1
1163,1098,1
639,29,1
709,125,1
386,219,1
1206,1559,1
144,408,1
1559,1081,1
1451,639,1
515,1092,1
1282,1176,1
391,631,1
1530,1004,1
61,351,1
680,117,1
1558,101,1
618,113,1
1156,77,1
1113,29,1
384,516,1
652,202,1
911,595,1
353,687,1
745,1384,1
61,1540,1
1207,726,1
1410,54,1
1324,1102,1
86,369,1
539,171,1
719,533,1
1481,131,1
634,90,1
536,385,1
1116,284,1
1107,166,1
122,1273,1
891,818,1
1058,217,1
196,81,1
581,732,1
819,1086,1
1276,660,1
1343,870,1
1367,1559,1
934,1362,1
270,578,1
1262,570,1
158,687,1
1179,934,1
1076,708,1
544,687,1
18,1283,1
1060,1451,1
920,970,1
831,535,1
1156,910,1
1097,16,1
971,670,1
554,1182,1
1444,744,1
680,1150,1
1542,1173,1
1152,513,1
1452,445,1
245,86,1
1383,78,1
1444,1181,1
1543,874,1
1212,538,1
803,180,1
623,188,1
892,438,1
970,586,1
1228,1314,1
362,905,1
462,890,1
